001_sedih_intens.wav|Aku udah berusaha banget, tapi kenapa tetap gagal?! Huh...|sedih|intens
002_sedih_sedang.wav|Aku sudah berusaha sekuat tenaga, tapi tetap saja gagal.|sedih|sedang
003_sedih_lembut.wav|Aku… sudah berusaha sekuat tenaga… tapi… tetap saja gagal…|sedih|lembut

004_senang_intens.wav|YA AMPUN! Akhirnya, impianku beneran jadi kenyataan hari ini!!|senang|intens
005_senang_sedang.wav|Akhirnya, impianku jadi kenyataan juga hari ini!|senang|sedang
006_senang_lembut.wav|Akhirnya… impianku jadi kenyataan juga hari ini.|senang|lembut

007_marah_intens.wav|BERAPA KALI HARUS AKU BILANG! JANGAN SENTUH BARANG ITU TANPA IZIN!!|marah|intens
008_marah_sedang.wav|Berapa kali harus aku bilang, jangan sentuh barang itu tanpa izin!|marah|sedang
009_marah_lembut.wav|Berapa kali harus aku bilang… jangan sentuh barang itu tanpa izin.|marah|lembut
